###    First-principles Database for Compositional Optimization of Cantor Alloys   ###

#	Notes:
#		Values are presented per atom <--




--> System Information

#	Notes:
#		Molar fraction <--

     System           Cr        Mn        Fe        Co        Ni  
      Xx5            0.2       0.2       0.2       0.2       0.2  
Cr-0.05_Xx4-0.95     0.05     0.2375    0.2375    0.2375    0.2375
 Cr-0.1_Xx4-0.9      0.1      0.225     0.225     0.225     0.225 
Cr-0.15_Xx4-0.85     0.15     0.2125    0.2125    0.2125    0.2125
Cr-0.25_Xx4-0.75     0.25     0.1875    0.1875    0.1875    0.1875
 Cr-0.3_Xx4-0.7      0.3      0.175     0.175     0.175     0.175 
Mn-0.05_Xx4-0.95    0.2375     0.05     0.2375    0.2375    0.2375
 Mn-0.1_Xx4-0.9     0.225      0.1      0.225     0.225     0.225 
Mn-0.15_Xx4-0.85    0.2125     0.15     0.2125    0.2125    0.2125
Mn-0.25_Xx4-0.75    0.1875     0.25     0.1875    0.1875    0.1875
 Mn-0.3_Xx4-0.7     0.175      0.3      0.175     0.175     0.175 
Fe-0.05_Xx4-0.95    0.2375    0.2375     0.05     0.2375    0.2375
 Fe-0.1_Xx4-0.9     0.225     0.225      0.1      0.225     0.225 
Fe-0.15_Xx4-0.85    0.2125    0.2125     0.15     0.2125    0.2125
Fe-0.25_Xx4-0.75    0.1875    0.1875     0.25     0.1875    0.1875
 Fe-0.3_Xx4-0.7     0.175     0.175      0.3      0.175     0.175 
Co-0.05_Xx4-0.95    0.2375    0.2375    0.2375     0.05     0.2375
 Co-0.1_Xx4-0.9     0.225     0.225     0.225      0.1      0.225 
Co-0.15_Xx4-0.85    0.2125    0.2125    0.2125     0.15     0.2125
Co-0.25_Xx4-0.75    0.1875    0.1875    0.1875     0.25     0.1875
 Co-0.3_Xx4-0.7     0.175     0.175     0.175      0.3      0.175 
Ni-0.05_Xx4-0.95    0.2375    0.2375    0.2375    0.2375     0.05 
 Ni-0.1_Xx4-0.9     0.225     0.225     0.225     0.225      0.1  
Ni-0.15_Xx4-0.85    0.2125    0.2125    0.2125    0.2125     0.15 
Ni-0.25_Xx4-0.75    0.1875    0.1875    0.1875    0.1875     0.25 
 Ni-0.3_Xx4-0.7     0.175     0.175     0.175     0.175      0.3  


--> Equilibrium Quantities


----> Binary enthaly of mixing: H_mix^ij

#	Notes:
#		Energies in meV units <----

         Cr           Mn           Fe           Co           Ni    
Cr       0.        0.020729     -0.010364    -0.041457    -0.07255 
Mn    0.020729        0.           0.        -0.051821    -0.082914
Fe    -0.010364       0.           0.        -0.010364    -0.020729
Co    -0.041457    -0.051821    -0.010364       0.           0.    
Ni    -0.07255     -0.082914    -0.020729       0.           0.    


--> Temperature-dependent Quantities

#	Notes:
#		T: Temperature, V: Volume, rho: Solid density, G: Gibbs free en., Chi_M: Mulliken electronegativity, VEC: Valence el. con., dR: Atomic-size mismatch parameter, B:Bulk mod., S:Shear mod., Y:Young's mod.,  sigma_y: Yield str., nu_P: Poisson's ratio,  kappa_el: Electronic thermal cond., kappa_lat: Lattice thermal cond., beta: Volume thermal expansion
#		T in K,  V in 10^-30 m^3, rho in kg m^-3, G in meV, VEC: in 10^30 m^-3, dR 10^-3 dimensionless, B;S;Y in GPa , sigma_y in GPa, nu_P dimensionless, kappa_el and kappa_lat in W/m^-1 K^-1, beta: 10^-6 K^-1 units <--



----> Xx5 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.317    9026.42     18.627     -21.913    0.775    17.879    287.377    177.465    527.773     8.686     0.244     16.094      1991.27     5.267
200     10.324    9020.01    -10.089     -21.913    0.775    17.879    287.075    177.255    527.149     8.676     0.244     14.492      1069.8      8.196
300     10.333    9012.24    -50.448     -21.913    0.774    17.879    287.847     177.      526.392     8.647     0.245     16.133      722.378     8.916
400     10.343    9004.1     -99.378     -21.914    0.774    17.879    290.09     176.734     525.6      8.597     0.247     17.909      546.788     9.102
500     10.352    8995.91    -155.001    -21.914    0.773    17.879    293.98     176.466    524.803     8.523     0.25      19.089      442.961     9.065
600     10.361    8987.83    -216.121    -21.915    0.772    17.879    299.61     176.202    524.018     8.428     0.254     19.616      375.72      8.896
700     10.37     8979.95    -281.917    -21.915    0.771    17.879    307.018    175.944    523.252     8.313     0.259     19.729      329.614     8.634
800     10.379    8972.34    -351.795    -21.916    0.771    17.879    316.197    175.696    522.514     8.184     0.266     20.018      296.793     8.304
900     10.388    8965.06    -425.303    -21.917    0.77     17.879     327.1     175.459    521.807     8.043     0.272     20.229      272.832     7.926
1000    10.396    8958.14    -502.091    -21.917    0.77     17.879    339.649    175.233    521.136     7.895     0.28      20.185      255.038     7.516

----> Cr-0.05_Xx4-0.95 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.264    9196.52     22.778     -21.82     0.812    16.586    278.309    191.674    536.213     9.819     0.22      4.941       3164.81     3.801
200     10.27     9191.54     -3.625     -21.82     0.811    16.586    277.29     191.501    535.728     9.826     0.219     11.021      1730.83     6.437
300     10.277    9185.22    -41.317     -21.82     0.81     16.586    276.337    191.282    535.115     9.828     0.219     12.806      1164.72     7.189
400     10.285    9178.46    -87.472     -21.82     0.81     16.586    275.757    191.047    534.459     9.822     0.219     15.022      873.822     7.491
500     10.292    9171.51    -140.276    -21.821    0.809    16.586    275.668    190.806    533.785     9.807     0.219     16.101      698.586     7.633
600      10.3     9164.48    -198.558    -21.821    0.808    16.586    276.143    190.563    533.103     9.78      0.219     16.734      582.409     7.692
700     10.308    9157.43    -261.513    -21.821    0.808    16.586    277.234    190.318    532.419     9.743     0.221     17.422      500.404     7.699
800     10.316    9150.4     -328.557    -21.821    0.807    16.586    278.984    190.075    531.738     9.693     0.222     17.432      439.949     7.665
900     10.324    9143.41    -399.251    -21.821    0.806    16.586    281.427    189.833    531.062     9.632     0.225     17.674      393.967     7.595
1000    10.332    9136.52    -473.251    -21.821    0.806    16.586    284.59     189.594    530.394     9.56      0.227     17.723      358.179     7.494

----> Cr-0.1_Xx4-0.9 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.268    9151.63     21.84      -21.883    0.804    17.141    281.357    195.467    544.793    10.033     0.218     10.189      3273.34     3.818
200     10.274    9146.66     -5.243     -21.883    0.803    17.141    280.075    195.29      544.3     10.044     0.217     9.235       1766.16     6.446
300     10.281    9140.35    -43.661     -21.883    0.803    17.141    278.63     195.066    543.675    10.056     0.216     10.224      1181.51     7.213
400     10.289    9133.6     -90.554     -21.883    0.802    17.141    277.389    194.826    543.005    10.062     0.215     10.588      881.685     7.542
500     10.297    9126.62    -144.097    -21.883    0.802    17.141    276.483    194.578    542.314    10.062     0.215     11.003      700.954     7.72 
600     10.305    9119.53    -203.114    -21.884    0.801    17.141    275.987    194.326    541.612    10.053     0.215     11.609      580.936     7.823
700     10.313    9112.37    -266.797    -21.884     0.8     17.141    275.958    194.072    540.903    10.036     0.215     11.785      496.025     7.88 
800     10.321    9105.18    -334.56     -21.885     0.8     17.141    276.442    193.817    540.192    10.008     0.216     11.846      433.261      7.9 
900     10.329    9097.99    -405.96     -21.885    0.799    17.141    277.48     193.562    539.482     9.97      0.217     11.996      385.387     7.891
1000    10.337    9090.83    -480.652    -21.885    0.799    17.141    279.106    193.308    538.774     9.921     0.219     12.094      348.024     7.851

----> Cr-0.15_Xx4-0.85 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.288    9093.25     20.083     -21.91     0.791    17.569    285.367    187.372    538.037     9.392     0.231     7.734       2622.94     4.459
200     10.294    9087.66     -7.906     -21.91     0.791    17.569    284.675    187.18     537.485     9.391     0.23      7.559       1422.82     7.186
300     10.302    9080.74    -47.392     -21.911    0.79     17.569    284.394    186.943    536.804     9.379     0.23      8.041       959.825     7.912
400     10.31     9073.42    -95.403     -21.911    0.79     17.569    284.821    186.692    536.083     9.355     0.231      8.34       723.493     8.166
500     10.319    9065.97    -150.087    -21.911    0.789    17.569    286.084    186.437    535.349     9.316     0.232      9.05       582.039     8.244
600     10.327    9058.5     -210.256    -21.912    0.788    17.569    288.262    186.181    534.615     9.262     0.234     9.458       488.976     8.226
700     10.336    9051.09    -275.094    -21.912    0.788    17.569    291.413    185.927    533.885     9.194     0.237     9.684       423.895     8.142
800     10.344    9043.78    -344.012    -21.913    0.787    17.569    295.575    185.677    533.167     9.112     0.24      9.995       376.448     8.006
900     10.352    9036.62    -416.562    -21.913    0.787    17.569    300.77     185.432    532.464     9.018     0.244     10.139      340.828     7.827
1000    10.36     9029.64    -492.396    -21.914    0.786    17.569    307.004    185.193    531.779     8.912     0.249     10.44       313.514     7.613

----> Cr-0.25_Xx4-0.75 <----

 T        V         rho         G         Chi_M      VEC      dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.351    8955.44     17.635     -21.898    0.765    18.08    288.011    172.965    522.938     8.377     0.25      3.229       1795.36     5.624
200     10.359    8948.77    -11.556     -21.898    0.765    18.08    286.559    172.75     522.289     8.383     0.249     7.462       965.057     8.552
300     10.368    8940.71    -52.498     -21.898    0.764    18.08    285.91     172.491    521.506     8.376     0.249     8.401       648.489     9.327
400     10.378    8932.23    -102.048    -21.899    0.764    18.08    286.514    172.219    520.682     8.349     0.25      8.402       487.641     9.594
