###    First-principles Database for Compositional Optimization of Cantor Alloys   ###

#	Notes:
#		Values are presented per atom <--




--> System Information

#	Notes:
#		Molar fraction <--

             System                 Cr     Mn     Fe     Co     Ni      Nb       Mo  
              Xx5                   0.2    0.2    0.2    0.2    0.2     0.       0.  
     Cr-0.1_Nb-0.1_Xx4-0.8          0.1    0.2    0.2    0.2    0.2     0.1      0.  
Cr-0.1_Nb-0.075_Mo-0.025_Xx4-0.8    0.1    0.2    0.2    0.2    0.2    0.075    0.025
 Cr-0.1_Nb-0.05_Mo-0.05_Xx4-0.8     0.1    0.2    0.2    0.2    0.2    0.05     0.05 
Cr-0.1_Nb-0.025_Mo-0.075_Xx4-0.8    0.1    0.2    0.2    0.2    0.2    0.025    0.075
     Cr-0.1_Mo-0.1_Xx4-0.8          0.1    0.2    0.2    0.2    0.2     0.       0.1 
     Mn-0.1_Nb-0.1_Xx4-0.8          0.2    0.1    0.2    0.2    0.2     0.1      0.  
Mn-0.1_Nb-0.075_Mo-0.025_Xx4-0.8    0.2    0.1    0.2    0.2    0.2    0.075    0.025
 Mn-0.1_Nb-0.05_Mo-0.05_Xx4-0.8     0.2    0.1    0.2    0.2    0.2    0.05     0.05 
Mn-0.1_Nb-0.025_Mo-0.075_Xx4-0.8    0.2    0.1    0.2    0.2    0.2    0.025    0.075
     Mn-0.1_Mo-0.1_Xx4-0.8          0.2    0.1    0.2    0.2    0.2     0.       0.1 
     Fe-0.1_Nb-0.1_Xx4-0.8          0.2    0.2    0.1    0.2    0.2     0.1      0.  
Fe-0.1_Nb-0.075_Mo-0.025_Xx4-0.8    0.2    0.2    0.1    0.2    0.2    0.075    0.025
 Fe-0.1_Nb-0.05_Mo-0.05_Xx4-0.8     0.2    0.2    0.1    0.2    0.2    0.05     0.05 
Fe-0.1_Nb-0.025_Mo-0.075_Xx4-0.8    0.2    0.2    0.1    0.2    0.2    0.025    0.075
     Fe-0.1_Mo-0.1_Xx4-0.8          0.2    0.2    0.1    0.2    0.2     0.       0.1 
     Co-0.1_Nb-0.1_Xx4-0.8          0.2    0.2    0.2    0.1    0.2     0.1      0.  
Co-0.1_Nb-0.075_Mo-0.025_Xx4-0.8    0.2    0.2    0.2    0.1    0.2    0.075    0.025
 Co-0.1_Nb-0.05_Mo-0.05_Xx4-0.8     0.2    0.2    0.2    0.1    0.2    0.05     0.05 
Co-0.1_Nb-0.025_Mo-0.075_Xx4-0.8    0.2    0.2    0.2    0.1    0.2    0.025    0.075
     Co-0.1_Mo-0.1_Xx4-0.8          0.2    0.2    0.2    0.1    0.2     0.       0.1 
     Ni-0.1_Nb-0.1_Xx4-0.8          0.2    0.2    0.2    0.2    0.1     0.1      0.  
Ni-0.1_Nb-0.075_Mo-0.025_Xx4-0.8    0.2    0.2    0.2    0.2    0.1    0.075    0.025
 Ni-0.1_Nb-0.05_Mo-0.05_Xx4-0.8     0.2    0.2    0.2    0.2    0.1    0.05     0.05 
Ni-0.1_Nb-0.025_Mo-0.075_Xx4-0.8    0.2    0.2    0.2    0.2    0.1    0.025    0.075
     Ni-0.1_Mo-0.1_Xx4-0.8          0.2    0.2    0.2    0.2    0.1     0.       0.1 


--> Equilibrium Quantities


----> Binary enthaly of mixing: H_mix^ij

#	Notes:
#		Energies in meV units <----

         Cr           Mn           Fe           Co           Ni           Nb           Mo    
Cr       0.        0.020729     -0.010364    -0.041457    -0.07255     -0.07255        0.    
Mn    0.020729        0.           0.        -0.051821    -0.082914    -0.041457    0.051821 
Fe    -0.010364       0.           0.        -0.010364    -0.020729    -0.165828    -0.020729
Co    -0.041457    -0.051821    -0.010364       0.           0.        -0.259107    -0.051821
Ni    -0.07255     -0.082914    -0.020729       0.           0.        -0.310928    -0.07255 
Nb    -0.07255     -0.041457    -0.165828    -0.259107    -0.310928       0.        -0.062186
Mo       0.        0.051821     -0.020729    -0.051821    -0.07255     -0.062186       0.    


--> Temperature-dependent Quantities

#	Notes:
#		T: Temperature, V: Volume, rho: Solid density, G: Gibbs free en., Chi_M: Mulliken electronegativity, VEC: Valence el. con., dR: Atomic-size mismatch parameter, B:Bulk mod., S:Shear mod., Y:Young's mod.,  sigma_y: Yield str., nu_P: Poisson's ratio,  kappa_el: Electronic thermal cond., kappa_lat: Lattice thermal cond., beta: Volume thermal expansion
#		T in K,  V in 10^-30 m^3, rho in kg m^-3, G in meV, VEC: in 10^30 m^-3, dR 1^-3 dimensionless, B;S;Y in GPa , sigma_y in GPa, nu_P dimensionless, kappa_el and kappa_lat in W/m^-1 K^-1, beta: 10^-6 K^-1 units <--



----> Xx5 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.317    9026.42     18.627     -21.913    0.741    17.879    287.377    177.465    527.773     8.686     0.244     16.094      1991.27     5.267
200     10.324    9020.01    -10.089     -21.913    0.741    17.879    287.075    177.255    527.149     8.676     0.244     14.492      1069.8      8.196
300     10.333    9012.24    -50.448     -21.913    0.74     17.879    287.847     177.      526.392     8.647     0.245     16.133      722.378     8.916
400     10.343    9004.1     -99.378     -21.914    0.739    17.879    290.09     176.734     525.6      8.597     0.247     17.909      546.788     9.102
500     10.352    8995.91    -155.001    -21.914    0.738    17.879    293.98     176.466    524.803     8.523     0.25      19.089      442.961     9.065
600     10.361    8987.83    -216.121    -21.915    0.738    17.879    299.61     176.202    524.018     8.428     0.254     19.616      375.72      8.896
700     10.37     8979.95    -281.917    -21.915    0.737    17.879    307.018    175.944    523.252     8.313     0.259     19.729      329.614     8.634
800     10.379    8972.34    -351.795    -21.916    0.736    17.879    316.197    175.696    522.514     8.184     0.266     20.018      296.793     8.304
900     10.388    8965.06    -425.303    -21.917    0.736    17.879     327.1     175.459    521.807     8.043     0.272     20.229      272.832     7.926
1000    10.396    8958.14    -502.091    -21.917    0.735    17.879    339.649    175.233    521.136     7.895     0.28      20.185      255.038     7.516

----> Cr-0.1_Nb-0.1_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.726    9315.59     16.733     -22.267    0.775    24.393    308.993    188.146    561.901     9.077     0.247     0.903       1988.78     5.065
200     10.733    9309.35    -13.453     -22.268    0.775    24.393    309.859    187.936    561.274     9.051     0.248     3.401       1082.65     7.661
300     10.742    9301.89     -55.31     -22.268    0.774    24.393    312.059    187.686    560.525     9.004     0.249     5.397       740.359     8.224
400     10.751    9294.19    -105.721    -22.269    0.774    24.393    315.733    187.426    559.751     8.937     0.252     6.403       567.276     8.311
500     10.76     9286.5     -162.796    -22.269    0.773    24.393    320.952    187.168    558.98      8.85      0.256     6.775       464.868     8.21 
600     10.768    9278.97    -225.333    -22.27     0.772    24.393    327.749    186.915    558.224     8.747     0.26      7.222       398.459     8.006
700     10.777    9271.66    -292.51     -22.271    0.771    24.393    336.121    186.67     557.492     8.63      0.266     7.214       352.821     7.736
800     10.785    9264.64    -363.73     -22.271    0.771    24.393    346.038    186.434    556.788     8.503     0.272     7.109       320.221     7.42 
900     10.793    9257.92    -438.541    -22.272    0.77     24.393    357.443    186.209    556.116     8.367     0.278     7.087       296.307     7.075
1000     10.8     9251.54    -516.59     -22.273    0.77     24.393    370.263    185.995    555.477     8.228     0.285     7.107       278.43      6.714

----> Cr-0.1_Nb-0.075_Mo-0.025_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.701    9349.44     16.503     -22.328    0.748    24.393    308.974     187.3     562.483     9.022     0.248     1.715       1953.62     5.033
200     10.708    9343.17    -14.039     -22.328    0.748    24.393    308.969    187.09     561.854     9.008     0.248     3.435       1057.35     7.71 
300     10.716    9335.61    -56.225     -22.329    0.747    24.393    310.099    186.838    561.097     8.976     0.249     5.343       716.662     8.346
400     10.726    9327.73    -106.955    -22.329    0.746    24.393    312.687    186.575    560.307     8.923     0.251     6.394       543.962     8.497
500     10.735    9319.82    -164.343    -22.33     0.746    24.393    316.879    186.311    559.516     8.849     0.254     6.515       441.608     8.452
600     10.744    9312.01    -227.191    -22.331    0.745    24.393    322.75     186.051    558.735     8.756     0.258     6.723       375.149     8.292
700     10.752    9304.4     -294.676    -22.332    0.745    24.393    330.331    185.798    557.974     8.645     0.263     6.823       329.438     8.053
800     10.761    9297.04    -366.202    -22.332    0.744    24.393    339.614    185.553    557.239     8.521     0.269     6.927       296.777     7.757
900     10.769    9289.99    -441.319    -22.333    0.744    24.393    350.555    185.319    556.534     8.386     0.275     7.231       272.834     7.42 
1000    10.777    9283.26    -519.672    -22.334    0.743    24.393    363.084    185.095    555.863     8.245     0.282     7.359       254.976     7.057

----> Cr-0.1_Nb-0.05_Mo-0.05_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.676    9382.46     16.663     -22.387    0.752    24.393    310.173    187.169    564.068     8.997     0.249     7.616       1962.48     4.955
200     10.684    9376.22    -13.857     -22.387    0.752    24.393    309.897    186.962    563.443     8.987     0.249     8.889       1056.78     7.666
300     10.692    9368.66     -55.99     -22.387    0.751    24.393    310.646    186.711    562.686     8.96      0.25      7.395       713.402     8.333
400     10.701    9360.75    -106.658    -22.388    0.751    24.393    312.818    186.448    561.894     8.913     0.251     6.845       539.376     8.512
